,name,date,null_px,snow_px,cloud_px,shadow_px,vegetation_px,not_vegetation_px,water_px,uncertain_px
64,northern_cairngorms,2021-06-03 11:21:11,1324595,0,0,0,0,0,0,0
65,monadh_liath,2021-06-03 11:21:11,851717,0,0,0,0,0,0,0
66,southern_cairngorms,2021-06-03 11:21:11,921271,0,0,0,0,0,0,0
67,beinn_dearg,2021-06-03 11:21:11,103661,0,0,0,0,0,0,0
68,northern_cairngorms,2022-09-16 11:21:21,1324595,0,0,0,0,0,0,0
69,monadh_liath,2022-09-16 11:21:21,851717,0,0,0,0,0,0,0
70,southern_cairngorms,2022-09-16 11:21:21,921271,0,0,0,0,0,0,0
71,beinn_dearg,2022-09-16 11:21:21,103661,0,0,0,0,0,0,0
72,northern_cairngorms,2021-02-11 11:33:19,1,1124913,15827,94069,5482,0,31066,53237
73,monadh_liath,2021-02-11 11:33:19,2,799505,11654,23964,1754,127,2415,12296
74,southern_cairngorms,2021-02-11 11:33:19,0,844250,6908,34814,100,0,18647,16552
75,beinn_dearg,2021-02-11 11:33:19,0,101631,522,1252,0,0,35,221
76,northern_cairngorms,2022-07-31 11:33:31,0,0,509920,248226,487185,68061,1884,9319
77,monadh_liath,2022-07-31 11:33:31,0,0,216096,158692,459289,13282,132,4226
78,southern_cairngorms,2022-07-31 11:33:31,0,0,748264,98606,60581,3101,913,9806
79,beinn_dearg,2022-07-31 11:33:31,0,0,60102,15915,25334,1181,0,1129
80,northern_cairngorms,2020-04-24 11:21:09,1324595,0,0,0,0,0,0,0
81,monadh_liath,2020-04-24 11:21:09,851717,0,0,0,0,0,0,0
82,southern_cairngorms,2020-04-24 11:21:09,921271,0,0,0,0,0,0,0
83,beinn_dearg,2020-04-24 11:21:09,103661,0,0,0,0,0,0,0
84,northern_cairngorms,2023-01-19 11:23:09,1324595,0,0,0,0,0,0,0
85,monadh_liath,2023-01-19 11:23:09,851717,0,0,0,0,0,0,0
86,southern_cairngorms,2023-01-19 11:23:09,921271,0,0,0,0,0,0,0
87,beinn_dearg,2023-01-19 11:23:09,103661,0,0,0,0,0,0,0
88,northern_cairngorms,2023-03-23 11:33:19,0,90553,693874,98422,244582,158350,4068,34746
89,monadh_liath,2023-03-23 11:33:19,0,13992,482256,56628,140720,90659,2661,64801
